,Oferta od,Kategoria,Marka pojazdu,Model pojazdu,Rok produkcji,Przebieg,Pojemność skokowa,Moc,Rodzaj napędu,Typ Silnika,Rodzaj paliwa,Skrzynia biegów,Typ nadwozia,Kolor,Możliwość finansowania,Faktura VAT,Leasing,Gwarancja dealerska (w cenie),Kraj pochodzenia,Bezwypadkowy,Stan,Numer rejestracyjny pojazdu,Pierwszy właściciel,Rodzaj koloru,Serwisowany w ASO,Zarejestrowany w Polsce,Pierwsza rejestracja,Tuning,Uszkodzony,VAT marża,Okres gwarancji producenta,VIN,lub do (przebieg km)
312,Osoby prywatnej,Motocykle,Yamaha,FZR,1993,30 000 km,600 cm3,90 KM,Łańcuch,Czterosuwowy,Benzyna,Manualna,Sportowy,Fioletowy,,,,,Niemcy,Tak,Używane,,,Metalik,,Tak,,,,,,,
313,Osoby prywatnej,Motocykle,Daelim,VS,1998,14 000 km,124 cm3,12 KM,Łańcuch,Czterosuwowy,Benzyna,Manualna,Chopper,Zielony,,,,,Austria,Tak,Używane,,,Perłowy,,,,,,Tak,,,
314,Firmy,Motocykle,Piaggio,MP-3,2021,1 km,500 cm3,44 KM,Pas napędowy,Czterosuwowy,Benzyna,Automatyczna,Skuter,Niebieski,Tak,Tak,Tak,24 miesięcy,,Tak,Nowe,,,Matowy,,,,,,,,,
315,Firmy,Motocykle,Aprilia,Tuono,2022,1 km,1 077 cm3,175 KM,Łańcuch,Czterosuwowy,Benzyna,Manualna,Naked,Czarny,,Tak,Tak,,,Tak,Nowe,,,,,,,,,,,,
316,Firmy,Motocykle,Vespa,Primavera,2021,1 km,125 cm3,11 KM,Pas napędowy,Czterosuwowy,Benzyna,Automatyczna,Skuter,Biały,Tak,Tak,Tak,24 miesięcy,,Tak,Nowe,,,,,,,,,,,,
317,Firmy,Motocykle,Piaggio,Inny,2017,8 200 km,125 cm3,12 KM,Pas napędowy,Czterosuwowy,Benzyna,Automatyczna,Skuter,Niebieski,,,,,Polska,Tak,Używane,,Tak,Metalik,Tak,Tak,,,,Tak,,,
318,Firmy,Motocykle,Piaggio,Inny,2021,1 km,,,,,Elektryczny,Automatyczna,Skuter,Biały,Tak,Tak,Tak,,,Tak,Nowe,,,,,,,,,,,,
319,Osoby prywatnej,Motocykle,Suzuki,Burgman,2009,16 953 km,385 cm3,34 KM,Pas napędowy,Czterosuwowy,Benzyna,,Skuter,Czarny,,,,,Francja,,Używane,,,,,Tak,17/06/2009,,,,,,
320,Osoby prywatnej,Motocykle,Suzuki,SV,2001,26 500 km,650 cm3,71 KM,Łańcuch,Czterosuwowy,Benzyna,Manualna,Naked,Niebieski,,,,,,Tak,Używane,WBRM305,,Metalik,,Tak,01/02/2001,,,,,,
321,Osoby prywatnej,Motocykle,Honda,CBR,1995,62 600 km,998 cm3,99 KM,Łańcuch,Czterosuwowy,Benzyna,Manualna,Sportowy,Czarny,,,,,,Tak,Używane,,,Metalik,,Tak,10/11/1995,,,,,,
