,Oferta od,Kategoria,Marka pojazdu,Model pojazdu,Rok produkcji,Przebieg,Pojemność skokowa,Moc,Rodzaj napędu,Typ Silnika,Rodzaj paliwa,Skrzynia biegów,Typ nadwozia,Kolor,Możliwość finansowania,Faktura VAT,Leasing,Kraj pochodzenia,Bezwypadkowy,Stan,price,Numer rejestracyjny pojazdu,Zarejestrowany w Polsce,Rodzaj koloru,Pierwsza rejestracja,Serwisowany w ASO,Pierwszy właściciel,Gwarancja dealerska (w cenie),Tuning,VAT marża,Okres gwarancji producenta,Liczba pozostałych rat,Miesięczna rata,Opłata początkowa,Wartość wykupu,lub do (przebieg km),Uszkodzony,VIN,Zarejestrowany jako zabytek
5229,Firmy,Motocykle,Stels,Inny,2021,1 km,850 cm3,71 KM,Wał kardana,Czterosuwowy,Benzyna,Automatyczna,Quad,Inny kolor,Tak,Tak,,,Tak,Nowe,55899,,,,,,,24 miesięcy,,,,,,,,,,,
5230,Firmy,Motocykle,Zontes,125 G1 Spoke,2022,1 km,125 cm3,15 KM,Łańcuch,Czterosuwowy,Benzyna,Manualna,Naked,Żółty,,Tak,Tak,,Tak,Nowe,16499,,,,,,,,,,,,,,,,,,
5231,Osoby prywatnej,Motocykle,BMW,GS,1995,500 000 km,,,,,Benzyna,,Turystyczny,Czarny,,,,,,Używane,28000,,,,,,,,,,,,,,,,,,
5232,Firmy,Motocykle,Honda,CBR,2009,41 000 km,600 cm3,125 KM,Łańcuch,Czterosuwowy,Benzyna,Manualna,Sportowy,Zielony,Tak,,,Niemcy,,Używane,20950,,,Perłowy,10/03/2009,,,,,Tak,,,,,,,,,
5233,Osoby prywatnej,Motocykle,BMW,F,2014,60 950 km,800 cm3,,,,Benzyna,,Naked,Czerwony,,,,Francja,,Używane,20000,,Tak,,,,,,,,,,,,,,,,
5234,Firmy,Motocykle,TGB,Blade,2021,1 km,1 000 cm3,83 KM,Wał kardana,Czterosuwowy,Benzyna,Automatyczna,Quad,Inny kolor,Tak,Tak,,,Tak,Nowe,59990,,,,,,,24 miesięcy,,,,,,,,,,,
5235,Firmy,Motocykle,Triumph,Street Triple,2017,31 800 km,765 cm3,131 KM,Łańcuch,Czterosuwowy,Benzyna,Manualna,Naked,Czarny,Tak,,,Niemcy,,Używane,28950,,,Metalik,11/11/2017,,,,,Tak,,,,,,,,,
5236,Firmy,Motocykle,Honda,PES,2008,34 002 km,125 cm3,14 KM,Pas napędowy,Czterosuwowy,Benzyna,Automatyczna,Skuter,Inny kolor,Tak,,,Włochy,Tak,Używane,5300,,,Metalik,27/09/2012,Tak,,,,Tak,,,,,,,,,
5237,Osoby prywatnej,Motocykle,Yamaha,TTR,2008,1 km,125 cm3,,Łańcuch,Czterosuwowy,Benzyna,Manualna,Krosowy,Niebieski,,,,,,Używane,10500,,,,,,,,,,,,,,,,,,
5238,Osoby prywatnej,Motocykle,Kawasaki,KX,2014,123 km,250 cm3,,,Czterosuwowy,Benzyna,,Krosowy,Zielony,,,,,,Używane,12500,,,,,,,,,,,,,,,,,,
5239,Firmy,Motocykle,BMW,S,2019,14 578 km,1 000 cm3,199 KM,Łańcuch,Czterosuwowy,Benzyna,Manualna,Sportowy,Czarny,Tak,,Tak,Szwajcaria,Tak,Używane,69900,,,Metalik,06/06/2019,Tak,Tak,,,Tak,,,,,,,,,
5240,Firmy,Motocykle,Ducati,Multistrada,2006,34 476 km,620 cm3,61 KM,Łańcuch,Czterosuwowy,Benzyna,Manualna,Turystyczny,Czarny,Tak,,,Włochy,Tak,Używane,10900,,,Matowy,24/05/2006,Tak,Tak,3 miesięcy,,Tak,,,,,,,,,
5241,Firmy,Motocykle,Yamaha,Wild star,2003,38 500 km,1 600 cm3,,Pas napędowy,Czterosuwowy,Benzyna,,Chopper,Srebrny,,Tak,,,,Używane,11999,,,,,,,,,,,,,,,,Tak,,
5242,Firmy,Motocykle,Junak,Inny,2022,1 km,125 cm3,11 KM,Łańcuch,,Benzyna,Manualna,Chopper,Inny kolor,,,,,Tak,Nowe,14099,,,,,,,,,,,,,,,,,,
5243,Osoby prywatnej,Motocykle,Honda,NTV,1997,46 000 km,647 cm3,56 KM,Wał kardana,Czterosuwowy,Benzyna,,Naked,Czarny,,,,Wielka Brytania,,Używane,6600,KT4441,Tak,,18/11/2008,,,,,,,,,,,,,,
5244,Firmy,Motocykle,Niu,N,2022,1 km,,,,Elektryczny,Elektryczny,Automatyczna,Skuter,Inny kolor,Tak,Tak,Tak,,Tak,Nowe,20500,,,,,,,,,,,,,,,,,,
5245,Firmy,Motocykle,Zipp,Inny,2022,1 km,49 cm3,3 KM,Pas napędowy,Czterosuwowy,Benzyna,Automatyczna,Skuter,Inny kolor,Tak,Tak,,,Tak,Nowe,5499,,,,,,,,,,,,,,,,,,
5246,Firmy,Motocykle,Yamaha,Kodiak,2022,1 km,450 cm3,,Wał kardana,Czterosuwowy,Benzyna,Automatyczna,Quad,Zielony,Tak,Tak,,Polska,Tak,Nowe,53500,,,Matowy,,,,,,,,,,,,,,,
5247,Osoby prywatnej,Motocykle,Honda,CBR,2017,7 000 km,1 000 cm3,198 KM,Łańcuch,,Benzyna,Półautomatyczna,Sportowy,Inny kolor,,,,Polska,Tak,Używane,67800,,Tak,Perłowy,01/06/2017,Tak,Tak,,Tak,,,,,,,,,,
5248,Firmy,Motocykle,BMW,R,1998,51 700 km,1 200 cm3,61 KM,Wał kardana,Czterosuwowy,Benzyna,Manualna,Cruiser,Bordowy,Tak,,,Holandia,Tak,Używane,29900,,,Metalik,24/12/1998,,,,,Tak,,,,,,,,,
5249,Firmy,Motocykle,Zipp,Inny,2022,1 km,49 cm3,3 KM,Pas napędowy,Czterosuwowy,Benzyna,Automatyczna,Skuter,Inny kolor,Tak,Tak,,,Tak,Nowe,5299,,,,,,,,,,,,,,,,,,
5250,Osoby prywatnej,Motocykle,BMW,R,2010,21 800 km,1 170 cm3,110 KM,Wał kardana,Czterosuwowy,Benzyna,Manualna,Enduro,Czarny,,,,Polska,Tak,Używane,40000,LB5039,Tak,Metalik,19/07/2010,Tak,,,,,,,,,,,,,
5251,Firmy,Motocykle,Kawasaki,Versys 1000,2018,21 000 km,1 000 cm3,150 KM,Łańcuch,Czterosuwowy,Benzyna,Manualna,Turystyczny,Bordowy,Tak,,,,,Używane,35900,,,Perłowy,10/02/2018,,,,,Tak,,,,,,,,,
